2022-02-24 15:20:23.468085	---STARTING PARAMETERS LOADING---
2022-02-24 15:20:23.468085	INFO	Setting the parameter natoms = 500.
2022-02-24 15:20:23.468085	INFO	Setting the parameter temp = 300.
2022-02-24 15:20:23.468085	INFO	Setting the parameter mass = 0.001.
2022-02-24 15:20:23.468085	INFO	Setting the parameter radius = 120e-12.
2022-02-24 15:20:23.468085	INFO	Setting the parameter relax = 1e-13.
2022-02-24 15:20:23.468085	INFO	Setting the parameter timestep = 1e-15.
2022-02-24 15:20:23.468085	INFO	Setting the parameter maxsteps = 3000.
2022-02-24 15:20:23.468085	INFO	Setting the parameter box = ((0.0, 1e-08), (0.0, 1e-08), (0.0, 1e-08)).
2022-02-24 15:20:23.468085	INFO	Setting the parameter outputfreq = 10.
2022-02-24 15:20:23.468085	INFO	Setting the parameter outputfile = tray-Langevin-thermo.dump.
2022-02-24 15:20:23.468085	INFO	Setting box to default value.
2022-02-24 15:20:23.468085	---ENDING PARAMETERS LOADING---
2022-02-24 15:20:23.483674	---STARTING SIMULATION---
2022-02-24 15:20:23.530541	INFO	Exporting output to tray-Langevin-thermo.dump at step 10.
2022-02-24 15:20:23.561791	INFO	Exporting output to tray-Langevin-thermo.dump at step 20.
2022-02-24 15:20:23.624295	INFO	Exporting output to tray-Langevin-thermo.dump at step 30.
2022-02-24 15:20:23.671142	INFO	Exporting output to tray-Langevin-thermo.dump at step 40.
2022-02-24 15:20:23.702392	INFO	Exporting output to tray-Langevin-thermo.dump at step 50.
2022-02-24 15:20:23.749268	INFO	Exporting output to tray-Langevin-thermo.dump at step 60.
2022-02-24 15:20:23.796150	INFO	Exporting output to tray-Langevin-thermo.dump at step 70.
2022-02-24 15:20:23.843021	INFO	Exporting output to tray-Langevin-thermo.dump at step 80.
2022-02-24 15:20:23.905526	INFO	Exporting output to tray-Langevin-thermo.dump at step 90.
2022-02-24 15:20:23.952395	INFO	Exporting output to tray-Langevin-thermo.dump at step 100.
2022-02-24 15:20:24.014902	INFO	Exporting output to tray-Langevin-thermo.dump at step 110.
2022-02-24 15:20:24.061774	INFO	Exporting output to tray-Langevin-thermo.dump at step 120.
2022-02-24 15:20:24.124268	INFO	Exporting output to tray-Langevin-thermo.dump at step 130.
2022-02-24 15:20:24.171144	INFO	Exporting output to tray-Langevin-thermo.dump at step 140.
2022-02-24 15:20:24.218019	INFO	Exporting output to tray-Langevin-thermo.dump at step 150.
2022-02-24 15:20:24.280520	INFO	Exporting output to tray-Langevin-thermo.dump at step 160.
2022-02-24 15:20:24.343024	INFO	Exporting output to tray-Langevin-thermo.dump at step 170.
2022-02-24 15:20:24.405528	INFO	Exporting output to tray-Langevin-thermo.dump at step 180.
2022-02-24 15:20:24.452393	INFO	Exporting output to tray-Langevin-thermo.dump at step 190.
2022-02-24 15:20:24.514902	INFO	Exporting output to tray-Langevin-thermo.dump at step 200.
2022-02-24 15:20:24.577395	INFO	Exporting output to tray-Langevin-thermo.dump at step 210.
2022-02-24 15:20:24.655520	INFO	Exporting output to tray-Langevin-thermo.dump at step 220.
2022-02-24 15:20:24.702399	INFO	Exporting output to tray-Langevin-thermo.dump at step 230.
2022-02-24 15:20:24.764907	INFO	Exporting output to tray-Langevin-thermo.dump at step 240.
2022-02-24 15:20:24.811768	INFO	Exporting output to tray-Langevin-thermo.dump at step 250.
2022-02-24 15:20:24.858652	INFO	Exporting output to tray-Langevin-thermo.dump at step 260.
2022-02-24 15:20:24.905527	INFO	Exporting output to tray-Langevin-thermo.dump at step 270.
2022-02-24 15:20:24.968050	INFO	Exporting output to tray-Langevin-thermo.dump at step 280.
2022-02-24 15:20:25.014898	INFO	Exporting output to tray-Langevin-thermo.dump at step 290.
2022-02-24 15:20:25.093019	INFO	Exporting output to tray-Langevin-thermo.dump at step 300.
2022-02-24 15:20:25.155518	INFO	Exporting output to tray-Langevin-thermo.dump at step 310.
2022-02-24 15:20:25.218023	INFO	Exporting output to tray-Langevin-thermo.dump at step 320.
2022-02-24 15:20:25.295928	INFO	Exporting output to tray-Langevin-thermo.dump at step 330.
2022-02-24 15:20:25.374054	INFO	Exporting output to tray-Langevin-thermo.dump at step 340.
2022-02-24 15:20:25.452179	INFO	Exporting output to tray-Langevin-thermo.dump at step 350.
2022-02-24 15:20:25.498148	INFO	Exporting output to tray-Langevin-thermo.dump at step 360.
2022-02-24 15:20:25.560662	INFO	Exporting output to tray-Langevin-thermo.dump at step 370.
2022-02-24 15:20:25.608490	INFO	Exporting output to tray-Langevin-thermo.dump at step 380.
2022-02-24 15:20:25.686633	INFO	Exporting output to tray-Langevin-thermo.dump at step 390.
2022-02-24 15:20:25.749138	INFO	Exporting output to tray-Langevin-thermo.dump at step 400.
2022-02-24 15:20:25.796007	INFO	Exporting output to tray-Langevin-thermo.dump at step 410.
2022-02-24 15:20:25.858522	INFO	Exporting output to tray-Langevin-thermo.dump at step 420.
2022-02-24 15:20:25.936641	INFO	Exporting output to tray-Langevin-thermo.dump at step 430.
2022-02-24 15:20:25.983511	INFO	Exporting output to tray-Langevin-thermo.dump at step 440.
2022-02-24 15:20:26.046015	INFO	Exporting output to tray-Langevin-thermo.dump at step 450.
2022-02-24 15:20:26.092886	INFO	Exporting output to tray-Langevin-thermo.dump at step 460.
2022-02-24 15:20:26.155415	INFO	Exporting output to tray-Langevin-thermo.dump at step 470.
2022-02-24 15:20:26.217914	INFO	Exporting output to tray-Langevin-thermo.dump at step 480.
2022-02-24 15:20:26.280410	INFO	Exporting output to tray-Langevin-thermo.dump at step 490.
2022-02-24 15:20:26.342913	INFO	Exporting output to tray-Langevin-thermo.dump at step 500.
2022-02-24 15:20:26.389787	INFO	Exporting output to tray-Langevin-thermo.dump at step 510.
2022-02-24 15:20:26.436685	INFO	Exporting output to tray-Langevin-thermo.dump at step 520.
2022-02-24 15:20:26.483535	INFO	Exporting output to tray-Langevin-thermo.dump at step 530.
2022-02-24 15:20:26.530418	INFO	Exporting output to tray-Langevin-thermo.dump at step 540.
2022-02-24 15:20:26.561685	INFO	Exporting output to tray-Langevin-thermo.dump at step 550.
2022-02-24 15:20:26.639813	INFO	Exporting output to tray-Langevin-thermo.dump at step 560.
2022-02-24 15:20:26.696297	INFO	Exporting output to tray-Langevin-thermo.dump at step 570.
2022-02-24 15:20:26.773891	INFO	Exporting output to tray-Langevin-thermo.dump at step 580.
2022-02-24 15:20:26.836388	INFO	Exporting output to tray-Langevin-thermo.dump at step 590.
2022-02-24 15:20:26.883259	INFO	Exporting output to tray-Langevin-thermo.dump at step 600.
2022-02-24 15:20:26.930159	INFO	Exporting output to tray-Langevin-thermo.dump at step 610.
2022-02-24 15:20:26.984539	INFO	Exporting output to tray-Langevin-thermo.dump at step 620.
2022-02-24 15:20:27.031441	INFO	Exporting output to tray-Langevin-thermo.dump at step 630.
2022-02-24 15:20:27.078303	INFO	Exporting output to tray-Langevin-thermo.dump at step 640.
2022-02-24 15:20:27.109541	INFO	Exporting output to tray-Langevin-thermo.dump at step 650.
2022-02-24 15:20:27.156440	INFO	Exporting output to tray-Langevin-thermo.dump at step 660.
2022-02-24 15:20:27.203318	INFO	Exporting output to tray-Langevin-thermo.dump at step 670.
2022-02-24 15:20:27.234547	INFO	Exporting output to tray-Langevin-thermo.dump at step 680.
2022-02-24 15:20:27.281419	INFO	Exporting output to tray-Langevin-thermo.dump at step 690.
2022-02-24 15:20:27.343941	INFO	Exporting output to tray-Langevin-thermo.dump at step 700.
2022-02-24 15:20:27.390815	INFO	Exporting output to tray-Langevin-thermo.dump at step 710.
2022-02-24 15:20:27.437666	INFO	Exporting output to tray-Langevin-thermo.dump at step 720.
2022-02-24 15:20:27.468940	INFO	Exporting output to tray-Langevin-thermo.dump at step 730.
2022-02-24 15:20:27.515817	INFO	Exporting output to tray-Langevin-thermo.dump at step 740.
2022-02-24 15:20:27.562666	INFO	Exporting output to tray-Langevin-thermo.dump at step 750.
2022-02-24 15:20:27.593941	INFO	Exporting output to tray-Langevin-thermo.dump at step 760.
2022-02-24 15:20:27.640816	INFO	Exporting output to tray-Langevin-thermo.dump at step 770.
2022-02-24 15:20:27.672044	INFO	Exporting output to tray-Langevin-thermo.dump at step 780.
2022-02-24 15:20:27.718942	INFO	Exporting output to tray-Langevin-thermo.dump at step 790.
2022-02-24 15:20:27.765815	INFO	Exporting output to tray-Langevin-thermo.dump at step 800.
2022-02-24 15:20:27.812691	INFO	Exporting output to tray-Langevin-thermo.dump at step 810.
2022-02-24 15:20:27.859570	INFO	Exporting output to tray-Langevin-thermo.dump at step 820.
2022-02-24 15:20:27.906419	INFO	Exporting output to tray-Langevin-thermo.dump at step 830.
2022-02-24 15:20:27.953316	INFO	Exporting output to tray-Langevin-thermo.dump at step 840.
2022-02-24 15:20:28.000191	INFO	Exporting output to tray-Langevin-thermo.dump at step 850.
2022-02-24 15:20:28.031442	INFO	Exporting output to tray-Langevin-thermo.dump at step 860.
2022-02-24 15:20:28.078315	INFO	Exporting output to tray-Langevin-thermo.dump at step 870.
2022-02-24 15:20:28.125173	INFO	Exporting output to tray-Langevin-thermo.dump at step 880.
2022-02-24 15:20:28.172066	INFO	Exporting output to tray-Langevin-thermo.dump at step 890.
2022-02-24 15:20:28.203317	INFO	Exporting output to tray-Langevin-thermo.dump at step 900.
2022-02-24 15:20:28.250192	INFO	Exporting output to tray-Langevin-thermo.dump at step 910.
2022-02-24 15:20:28.281440	INFO	Exporting output to tray-Langevin-thermo.dump at step 920.
2022-02-24 15:20:28.328316	INFO	Exporting output to tray-Langevin-thermo.dump at step 930.
2022-02-24 15:20:28.375170	INFO	Exporting output to tray-Langevin-thermo.dump at step 940.
2022-02-24 15:20:28.422065	INFO	Exporting output to tray-Langevin-thermo.dump at step 950.
2022-02-24 15:20:28.484545	INFO	Exporting output to tray-Langevin-thermo.dump at step 960.
2022-02-24 15:20:28.515814	INFO	Exporting output to tray-Langevin-thermo.dump at step 970.
2022-02-24 15:20:28.562666	INFO	Exporting output to tray-Langevin-thermo.dump at step 980.
2022-02-24 15:20:28.593941	INFO	Exporting output to tray-Langevin-thermo.dump at step 990.
2022-02-24 15:20:28.640815	INFO	Exporting output to tray-Langevin-thermo.dump at step 1000.
2022-02-24 15:20:28.687690	INFO	Exporting output to tray-Langevin-thermo.dump at step 1010.
2022-02-24 15:20:28.734566	INFO	Exporting output to tray-Langevin-thermo.dump at step 1020.
